"icd_10_pcs","description"
"027107Z","Dilation of Coronary Artery, Two Arteries with Four or More Drug-eluting Intraluminal Devices, Open Approach"
"02710D6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Intraluminal Device, Open Approach"
"02710DZ","Dilation of Coronary Artery, Two Arteries with Intraluminal Device, Open Approach"
"02710EZ","Dilation of Coronary Artery, Two Arteries with Two Intraluminal Devices, Open Approach"
"02710F6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Intraluminal Devices, Open Approach"
"02710FZ","Dilation of Coronary Artery, Two Arteries with Three Intraluminal Devices, Open Approach"
"02710G6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Intraluminal Devices, Open Approach"
"02710GZ","Dilation of Coronary Artery, Two Arteries with Four or More Intraluminal Devices, Open Approach"
"02710T6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Radioactive Intraluminal Device, Open Approach"
"02710TZ","Dilation of Coronary Artery, Two Arteries with Radioactive Intraluminal Device, Open Approach"
"02710Z6","Dilation of Coronary Artery, Two Arteries, Bifurcation, Open Approach"
"02710ZZ","Dilation of Coronary Artery, Two Arteries, Open Approach"
"027204Z","Dilation of Coronary Artery, Three Arteries with Drug-eluting Intraluminal Device, Open Approach"
"027205Z","Dilation of Coronary Artery, Three Arteries with Two Drug-eluting Intraluminal Devices, Open Approach"
"027206Z","Dilation of Coronary Artery, Three Arteries with Three Drug-eluting Intraluminal Devices, Open Approach"
"027207Z","Dilation of Coronary Artery, Three Arteries with Four or More Drug-eluting Intraluminal Devices, Open Approach"
"02720D6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Intraluminal Device, Open Approach"
"02720DZ","Dilation of Coronary Artery, Three Arteries with Intraluminal Device, Open Approach"
"02720EZ","Dilation of Coronary Artery, Three Arteries with Two Intraluminal Devices, Open Approach"
"02720F6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Intraluminal Devices, Open Approach"
"02720FZ","Dilation of Coronary Artery, Three Arteries with Three Intraluminal Devices, Open Approach"
"02720G6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Intraluminal Devices, Open Approach"
"02720GZ","Dilation of Coronary Artery, Three Arteries with Four or More Intraluminal Devices, Open Approach"
"02720T6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Radioactive Intraluminal Device, Open Approach"
"02720TZ","Dilation of Coronary Artery, Three Arteries with Radioactive Intraluminal Device, Open Approach"
"02720Z6","Dilation of Coronary Artery, Three Arteries, Bifurcation, Open Approach"
"02720ZZ","Dilation of Coronary Artery, Three Arteries, Open Approach"
"027304Z","Dilation of Coronary Artery, Four or More Arteries with Drug-eluting Intraluminal Device, Open Approach"
"027305Z","Dilation of Coronary Artery, Four or More Arteries with Two Drug-eluting Intraluminal Devices, Open Approach"
"027306Z","Dilation of Coronary Artery, Four or More Arteries with Three Drug-eluting Intraluminal Devices, Open Approach"
"027307Z","Dilation of Coronary Artery, Four or More Arteries with Four or More Drug-eluting Intraluminal Devices, Open Approach"
"02730D6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Intraluminal Device, Open Approach"
"02730DZ","Dilation of Coronary Artery, Four or More Arteries with Intraluminal Device, Open Approach"
"02730EZ","Dilation of Coronary Artery, Four or More Arteries with Two Intraluminal Devices, Open Approach"
"02730F6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Intraluminal Devices, Open Approach"
"02730FZ","Dilation of Coronary Artery, Four or More Arteries with Three Intraluminal Devices, Open Approach"
"02730G6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Intraluminal Devices, Open Approach"
"02730GZ","Dilation of Coronary Artery, Four or More Arteries with Four or More Intraluminal Devices, Open Approach"
"02730T6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Radioactive Intraluminal Device, Open Approach"
"02730TZ","Dilation of Coronary Artery, Four or More Arteries with Radioactive Intraluminal Device, Open Approach"
"02730Z6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, Open Approach"
"02730ZZ","Dilation of Coronary Artery, Four or More Arteries, Open Approach"
"027K04Z","Dilation of Right Ventricle with Drug-eluting Intraluminal Device, Open Approach"
"027K0DZ","Dilation of Right Ventricle with Intraluminal Device, Open Approach"
"027K0ZZ","Dilation of Right Ventricle, Open Approach"
"027K34Z","Dilation of Right Ventricle with Drug-eluting Intraluminal Device, Percutaneous Approach"
"027K3DZ","Dilation of Right Ventricle with Intraluminal Device, Percutaneous Approach"
"027K3ZZ","Dilation of Right Ventricle, Percutaneous Approach"
"027K44Z","Dilation of Right Ventricle with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
"027K4DZ","Dilation of Right Ventricle with Intraluminal Device, Percutaneous Endoscopic Approach"
"027K4ZZ","Dilation of Right Ventricle, Percutaneous Endoscopic Approach"
"027L04Z","Dilation of Left Ventricle with Drug-eluting Intraluminal Device, Open Approach"
"027L0DZ","Dilation of Left Ventricle with Intraluminal Device, Open Approach"
"027L0ZZ","Dilation of Left Ventricle, Open Approach"
"027L34Z","Dilation of Left Ventricle with Drug-eluting Intraluminal Device, Percutaneous Approach"
"027L3DZ","Dilation of Left Ventricle with Intraluminal Device, Percutaneous Approach"
"027L3ZZ","Dilation of Left Ventricle, Percutaneous Approach"
"027L44Z","Dilation of Left Ventricle with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
"027L4DZ","Dilation of Left Ventricle with Intraluminal Device, Percutaneous Endoscopic Approach"
"027L4ZZ","Dilation of Left Ventricle, Percutaneous Endoscopic Approach"
"027R04T","Dilation of Ductus Arteriosus with Drug-eluting Intraluminal Device, Open Approach"
"027R0DT","Dilation of Ductus Arteriosus with Intraluminal Device, Open Approach"
"027R0ZT","Dilation of Ductus Arteriosus, Open Approach"
"027R34T","Dilation of Ductus Arteriosus with Drug-eluting Intraluminal Device, Percutaneous Approach"
"027R3DT","Dilation of Ductus Arteriosus with Intraluminal Device, Percutaneous Approach"
"027R3ZT","Dilation of Ductus Arteriosus, Percutaneous Approach"
"027R44T","Dilation of Ductus Arteriosus with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
"027R4DT","Dilation of Ductus Arteriosus with Intraluminal Device, Percutaneous Endoscopic Approach"
"027R4ZT","Dilation of Ductus Arteriosus, Percutaneous Endoscopic Approach"
"02880ZZ","Division of Conduction Mechanism, Open Approach"
"02883ZZ","Division of Conduction Mechanism, Percutaneous Approach"
"02884ZZ","Division of Conduction Mechanism, Percutaneous Endoscopic Approach"
"02890ZZ","Division of Chordae Tendineae, Open Approach"
"02893ZZ","Division of Chordae Tendineae, Percutaneous Approach"
"02894ZZ","Division of Chordae Tendineae, Percutaneous Endoscopic Approach"
"028D0ZZ","Division of Papillary Muscle, Open Approach"
"028D3ZZ","Division of Papillary Muscle, Percutaneous Approach"
"028D4ZZ","Division of Papillary Muscle, Percutaneous Endoscopic Approach"
"02B40ZZ","Excision of Coronary Vein, Open Approach"
"02B43ZZ","Excision of Coronary Vein, Percutaneous Approach"
"02B44ZZ","Excision of Coronary Vein, Percutaneous Endoscopic Approach"
"02B50ZZ","Excision of Atrial Septum, Open Approach"
"02B53ZZ","Excision of Atrial Septum, Percutaneous Approach"
"02B54ZZ","Excision of Atrial Septum, Percutaneous Endoscopic Approach"
"02B60ZZ","Excision of Right Atrium, Open Approach"
"02B63ZZ","Excision of Right Atrium, Percutaneous Approach"
"02B64ZZ","Excision of Right Atrium, Percutaneous Endoscopic Approach"
"02B70ZZ","Excision of Left Atrium, Open Approach"
"02B73ZZ","Excision of Left Atrium, Percutaneous Approach"
"02B74ZZ","Excision of Left Atrium, Percutaneous Endoscopic Approach"
"02B80ZZ","Excision of Conduction Mechanism, Open Approach"
"02B83ZZ","Excision of Conduction Mechanism, Percutaneous Approach"
"02B84ZZ","Excision of Conduction Mechanism, Percutaneous Endoscopic Approach"
"02B90ZZ","Excision of Chordae Tendineae, Open Approach"
"02B93ZZ","Excision of Chordae Tendineae, Percutaneous Approach"
"02B94ZZ","Excision of Chordae Tendineae, Percutaneous Endoscopic Approach"
"02BD0ZZ","Excision of Papillary Muscle, Open Approach"
"02BD3ZZ","Excision of Papillary Muscle, Percutaneous Approach"
"02BD4ZZ","Excision of Papillary Muscle, Percutaneous Endoscopic Approach"
"02BF0ZZ","Excision of Aortic Valve, Open Approach"
"02BF3ZZ","Excision of Aortic Valve, Percutaneous Approach"
"02BF4ZZ","Excision of Aortic Valve, Percutaneous Endoscopic Approach"
"02BG0ZZ","Excision of Mitral Valve, Open Approach"
"02BG3ZZ","Excision of Mitral Valve, Percutaneous Approach"
"02BG4ZZ","Excision of Mitral Valve, Percutaneous Endoscopic Approach"
"02BH0ZZ","Excision of Pulmonary Valve, Open Approach"
"02BH3ZZ","Excision of Pulmonary Valve, Percutaneous Approach"
"02BH4ZZ","Excision of Pulmonary Valve, Percutaneous Endoscopic Approach"
"02BJ0ZZ","Excision of Tricuspid Valve, Open Approach"
"02BJ3ZZ","Excision of Tricuspid Valve, Percutaneous Approach"
"02BJ4ZZ","Excision of Tricuspid Valve, Percutaneous Endoscopic Approach"
"02BK0ZZ","Excision of Right Ventricle, Open Approach"
"02BK3ZZ","Excision of Right Ventricle, Percutaneous Approach"
"02BK4ZZ","Excision of Right Ventricle, Percutaneous Endoscopic Approach"
"02BL0ZZ","Excision of Left Ventricle, Open Approach"
"02BL3ZZ","Excision of Left Ventricle, Percutaneous Approach"
"02BL4ZZ","Excision of Left Ventricle, Percutaneous Endoscopic Approach"
"02BM0ZZ","Excision of Ventricular Septum, Open Approach"
"02BM3ZZ","Excision of Ventricular Septum, Percutaneous Approach"
"02BM4ZZ","Excision of Ventricular Septum, Percutaneous Endoscopic Approach"
"02BN0ZZ","Excision of Pericardium, Open Approach"
"02BN3ZZ","Excision of Pericardium, Percutaneous Approach"
"02BN4ZZ","Excision of Pericardium, Percutaneous Endoscopic Approach"
"02C00Z6","Extirpation of Matter from Coronary Artery, One Artery, Bifurcation, Open Approach"
"02C00ZZ","Extirpation of Matter from Coronary Artery, One Artery, Open Approach"
"02C10Z6","Extirpation of Matter from Coronary Artery, Two Arteries, Bifurcation, Open Approach"
"02C10ZZ","Extirpation of Matter from Coronary Artery, Two Arteries, Open Approach"
"02C20Z6","Extirpation of Matter from Coronary Artery, Three Arteries, Bifurcation, Open Approach"
"02C20ZZ","Extirpation of Matter from Coronary Artery, Three Arteries, Open Approach"
"02C30Z6","Extirpation of Matter from Coronary Artery, Four or More Arteries, Bifurcation, Open Approach"
"02C30ZZ","Extirpation of Matter from Coronary Artery, Four or More Arteries, Open Approach"
"02C40ZZ","Extirpation of Matter from Coronary Vein, Open Approach"
"02C43ZZ","Extirpation of Matter from Coronary Vein, Percutaneous Approach"
"02C44ZZ","Extirpation of Matter from Coronary Vein, Percutaneous Endoscopic Approach"
"02C50ZZ","Extirpation of Matter from Atrial Septum, Open Approach"
"02C53ZZ","Extirpation of Matter from Atrial Septum, Percutaneous Approach"
"02C54ZZ","Extirpation of Matter from Atrial Septum, Percutaneous Endoscopic Approach"
"02C60ZZ","Extirpation of Matter from Right Atrium, Open Approach"
"02C63ZZ","Extirpation of Matter from Right Atrium, Percutaneous Approach"
"02C64ZZ","Extirpation of Matter from Right Atrium, Percutaneous Endoscopic Approach"
"02C70ZZ","Extirpation of Matter from Left Atrium, Open Approach"
"02C73ZZ","Extirpation of Matter from Left Atrium, Percutaneous Approach"
"02C74ZZ","Extirpation of Matter from Left Atrium, Percutaneous Endoscopic Approach"
"02C80ZZ","Extirpation of Matter from Conduction Mechanism, Open Approach"
"02C83ZZ","Extirpation of Matter from Conduction Mechanism, Percutaneous Approach"
"02C84ZZ","Extirpation of Matter from Conduction Mechanism, Percutaneous Endoscopic Approach"
"02C90ZZ","Extirpation of Matter from Chordae Tendineae, Open Approach"
"02C93ZZ","Extirpation of Matter from Chordae Tendineae, Percutaneous Approach"
"02C94ZZ","Extirpation of Matter from Chordae Tendineae, Percutaneous Endoscopic Approach"
"02CD0ZZ","Extirpation of Matter from Papillary Muscle, Open Approach"
"02CD3ZZ","Extirpation of Matter from Papillary Muscle, Percutaneous Approach"
"02CD4ZZ","Extirpation of Matter from Papillary Muscle, Percutaneous Endoscopic Approach"
"02CK0ZZ","Extirpation of Matter from Right Ventricle, Open Approach"
"02CK3ZZ","Extirpation of Matter from Right Ventricle, Percutaneous Approach"
"02CK4ZZ","Extirpation of Matter from Right Ventricle, Percutaneous Endoscopic Approach"
"02CL0ZZ","Extirpation of Matter from Left Ventricle, Open Approach"
"02CL3ZZ","Extirpation of Matter from Left Ventricle, Percutaneous Approach"
"02CL4ZZ","Extirpation of Matter from Left Ventricle, Percutaneous Endoscopic Approach"
"02CM0ZZ","Extirpation of Matter from Ventricular Septum, Open Approach"
"02CM3ZZ","Extirpation of Matter from Ventricular Septum, Percutaneous Approach"
"02CM4ZZ","Extirpation of Matter from Ventricular Septum, Percutaneous Endoscopic Approach"
"02CN0ZZ","Extirpation of Matter from Pericardium, Open Approach"
"02CN3ZZ","Extirpation of Matter from Pericardium, Percutaneous Approach"
"02CN4ZZ","Extirpation of Matter from Pericardium, Percutaneous Endoscopic Approach"
"02FN0ZZ","Fragmentation in Pericardium, Open Approach"
"02FN3ZZ","Fragmentation in Pericardium, Percutaneous Approach"
"02FN4ZZ","Fragmentation in Pericardium, Percutaneous Endoscopic Approach"
"02H00DZ","Insertion of Intraluminal Device into Coronary Artery, One Artery, Open Approach"
"02H00YZ","Insertion of Other Device into Coronary Artery, One Artery, Open Approach"
"02H03DZ","Insertion of Intraluminal Device into Coronary Artery, One Artery, Percutaneous Approach"
"02H03YZ","Insertion of Other Device into Coronary Artery, One Artery, Percutaneous Approach"
"02H04DZ","Insertion of Intraluminal Device into Coronary Artery, One Artery, Percutaneous Endoscopic Approach"
"02H04YZ","Insertion of Other Device into Coronary Artery, One Artery, Percutaneous Endoscopic Approach"
"02H10DZ","Insertion of Intraluminal Device into Coronary Artery, Two Arteries, Open Approach"
"02H10YZ","Insertion of Other Device into Coronary Artery, Two Arteries, Open Approach"
"02H13DZ","Insertion of Intraluminal Device into Coronary Artery, Two Arteries, Percutaneous Approach"
"02H13YZ","Insertion of Other Device into Coronary Artery, Two Arteries, Percutaneous Approach"
"02H14DZ","Insertion of Intraluminal Device into Coronary Artery, Two Arteries, Percutaneous Endoscopic Approach"
"02H14YZ","Insertion of Other Device into Coronary Artery, Two Arteries, Percutaneous Endoscopic Approach"
"02H20DZ","Insertion of Intraluminal Device into Coronary Artery, Three Arteries, Open Approach"
"02H20YZ","Insertion of Other Device into Coronary Artery, Three Arteries, Open Approach"
"02H23DZ","Insertion of Intraluminal Device into Coronary Artery, Three Arteries, Percutaneous Approach"
"02H23YZ","Insertion of Other Device into Coronary Artery, Three Arteries, Percutaneous Approach"
"02H24DZ","Insertion of Intraluminal Device into Coronary Artery, Three Arteries, Percutaneous Endoscopic Approach"
"02H24YZ","Insertion of Other Device into Coronary Artery, Three Arteries, Percutaneous Endoscopic Approach"
"02H30DZ","Insertion of Intraluminal Device into Coronary Artery, Four or More Arteries, Open Approach"
"02H30YZ","Insertion of Other Device into Coronary Artery, Four or More Arteries, Open Approach"
"02H33DZ","Insertion of Intraluminal Device into Coronary Artery, Four or More Arteries, Percutaneous Approach"
"02H33YZ","Insertion of Other Device into Coronary Artery, Four or More Arteries, Percutaneous Approach"
"02H34DZ","Insertion of Intraluminal Device into Coronary Artery, Four or More Arteries, Percutaneous Endoscopic Approach"
"02H34YZ","Insertion of Other Device into Coronary Artery, Four or More Arteries, Percutaneous Endoscopic Approach"
"02H400Z","Insertion of Pressure Sensor Monitoring Device into Coronary Vein, Open Approach"
"02H402Z","Insertion of Monitoring Device into Coronary Vein, Open Approach"
