"icd_10_cm","description"
"S23161A","Dislocation of T10/T11 thoracic vertebra, initial encounter"
"S23162A","Subluxation of T11/T12 thoracic vertebra, initial encounter"
"S23163A","Dislocation of T11/T12 thoracic vertebra, initial encounter"
"S23170A","Subluxation of T12/L1 thoracic vertebra, initial encounter"
"S23171A","Dislocation of T12/L1 thoracic vertebra, initial encounter"
"S2320XA","Dislocation of unspecified part of thorax, initial encounter"
"S2329XA","Dislocation of other parts of thorax, initial encounter"
"S330XXA","Traumatic rupture of lumbar intervertebral disc, initial encounter"
"S33100A","Subluxation of unspecified lumbar vertebra, initial encounter"
"S33101A","Dislocation of unspecified lumbar vertebra, initial encounter"
"S33110A","Subluxation of L1/L2 lumbar vertebra, initial encounter"
"S33111A","Dislocation of L1/L2 lumbar vertebra, initial encounter"
"S33120A","Subluxation of L2/L3 lumbar vertebra, initial encounter"
"S33121A","Dislocation of L2/L3 lumbar vertebra, initial encounter"
"S33130A","Subluxation of L3/L4 lumbar vertebra, initial encounter"
"S33131A","Dislocation of L3/L4 lumbar vertebra, initial encounter"
"S33140A","Subluxation of L4/L5 lumbar vertebra, initial encounter"
"S33141A","Dislocation of L4/L5 lumbar vertebra, initial encounter"
"S332XXA","Dislocation of sacroiliac and sacrococcygeal joint, initial encounter"
"S3330XA","Dislocation of unspecified parts of lumbar spine and pelvis, initial encounter"
"S3339XA","Dislocation of other parts of lumbar spine and pelvis, initial encounter"
"S334XXA","Traumatic rupture of symphysis pubis, initial encounter"
"S43001A","Unspecified subluxation of right shoulder joint, initial encounter"
"S43002A","Unspecified subluxation of left shoulder joint, initial encounter"
"S43003A","Unspecified subluxation of unspecified shoulder joint, initial encounter"
"S43004A","Unspecified dislocation of right shoulder joint, initial encounter"
"S43005A","Unspecified dislocation of left shoulder joint, initial encounter"
"S43006A","Unspecified dislocation of unspecified shoulder joint, initial encounter"
"S43011A","Anterior subluxation of right humerus, initial encounter"
"S43012A","Anterior subluxation of left humerus, initial encounter"
"S43013A","Anterior subluxation of unspecified humerus, initial encounter"
"S43014A","Anterior dislocation of right humerus, initial encounter"
"S43015A","Anterior dislocation of left humerus, initial encounter"
"S43016A","Anterior dislocation of unspecified humerus, initial encounter"
"S43021A","Posterior subluxation of right humerus, initial encounter"
"S43022A","Posterior subluxation of left humerus, initial encounter"
"S43023A","Posterior subluxation of unspecified humerus, initial encounter"
"S43024A","Posterior dislocation of right humerus, initial encounter"
"S43025A","Posterior dislocation of left humerus, initial encounter"
"S43026A","Posterior dislocation of unspecified humerus, initial encounter"
"S43031A","Inferior subluxation of right humerus, initial encounter"
"S43032A","Inferior subluxation of left humerus, initial encounter"
"S43033A","Inferior subluxation of unspecified humerus, initial encounter"
"S43034A","Inferior dislocation of right humerus, initial encounter"
"S43035A","Inferior dislocation of left humerus, initial encounter"
"S43036A","Inferior dislocation of unspecified humerus, initial encounter"
"S43081A","Other subluxation of right shoulder joint, initial encounter"
"S43082A","Other subluxation of left shoulder joint, initial encounter"
"S43083A","Other subluxation of unspecified shoulder joint, initial encounter"
"S43084A","Other dislocation of right shoulder joint, initial encounter"
"S43085A","Other dislocation of left shoulder joint, initial encounter"
"S43086A","Other dislocation of unspecified shoulder joint, initial encounter"
"S43101A","Unspecified dislocation of right acromioclavicular joint, initial encounter"
"S43102A","Unspecified dislocation of left acromioclavicular joint, initial encounter"
"S43109A","Unspecified dislocation of unspecified acromioclavicular joint, initial encounter"
"S43111A","Subluxation of right acromioclavicular joint, initial encounter"
"S43112A","Subluxation of left acromioclavicular joint, initial encounter"
"S43119A","Subluxation of unspecified acromioclavicular joint, initial encounter"
"S43121A","Dislocation of right acromioclavicular joint, 100%-200% displacement, initial encounter"
"S43122A","Dislocation of left acromioclavicular joint, 100%-200% displacement, initial encounter"
"S43129A","Dislocation of unspecified acromioclavicular joint, 100%-200% displacement, initial encounter"
"S43131A","Dislocation of right acromioclavicular joint, greater than 200% displacement, initial encounter"
"S43132A","Dislocation of left acromioclavicular joint, greater than 200% displacement, initial encounter"
"S43139A","Dislocation of unspecified acromioclavicular joint, greater than 200% displacement, initial encounter"
"S43141A","Inferior dislocation of right acromioclavicular joint, initial encounter"
"S43142A","Inferior dislocation of left acromioclavicular joint, initial encounter"
"S43149A","Inferior dislocation of unspecified acromioclavicular joint, initial encounter"
"S43151A","Posterior dislocation of right acromioclavicular joint, initial encounter"
"S43152A","Posterior dislocation of left acromioclavicular joint, initial encounter"
"S43159A","Posterior dislocation of unspecified acromioclavicular joint, initial encounter"
"S43201A","Unspecified subluxation of right sternoclavicular joint, initial encounter"
"S43202A","Unspecified subluxation of left sternoclavicular joint, initial encounter"
"S43203A","Unspecified subluxation of unspecified sternoclavicular joint, initial encounter"
"S43204A","Unspecified dislocation of right sternoclavicular joint, initial encounter"
"S43205A","Unspecified dislocation of left sternoclavicular joint, initial encounter"
"S43206A","Unspecified dislocation of unspecified sternoclavicular joint, initial encounter"
"S43211A","Anterior subluxation of right sternoclavicular joint, initial encounter"
"S43212A","Anterior subluxation of left sternoclavicular joint, initial encounter"
"S43213A","Anterior subluxation of unspecified sternoclavicular joint, initial encounter"
"S43214A","Anterior dislocation of right sternoclavicular joint, initial encounter"
"S43215A","Anterior dislocation of left sternoclavicular joint, initial encounter"
"S43216A","Anterior dislocation of unspecified sternoclavicular joint, initial encounter"
"S43221A","Posterior subluxation of right sternoclavicular joint, initial encounter"
"S43222A","Posterior subluxation of left sternoclavicular joint, initial encounter"
"S43223A","Posterior subluxation of unspecified sternoclavicular joint, initial encounter"
"S43224A","Posterior dislocation of right sternoclavicular joint, initial encounter"
"S43225A","Posterior dislocation of left sternoclavicular joint, initial encounter"
"S43226A","Posterior dislocation of unspecified sternoclavicular joint, initial encounter"
"S43301A","Subluxation of unspecified parts of right shoulder girdle, initial encounter"
"S43302A","Subluxation of unspecified parts of left shoulder girdle, initial encounter"
"S43303A","Subluxation of unspecified parts of unspecified shoulder girdle, initial encounter"
"S43304A","Dislocation of unspecified parts of right shoulder girdle, initial encounter"
"S43305A","Dislocation of unspecified parts of left shoulder girdle, initial encounter"
"S43306A","Dislocation of unspecified parts of unspecified shoulder girdle, initial encounter"
"S43311A","Subluxation of right scapula, initial encounter"
"S43312A","Subluxation of left scapula, initial encounter"
"S43313A","Subluxation of unspecified scapula, initial encounter"
"S43314A","Dislocation of right scapula, initial encounter"
"S43315A","Dislocation of left scapula, initial encounter"
"S43316A","Dislocation of unspecified scapula, initial encounter"
"S43391A","Subluxation of other parts of right shoulder girdle, initial encounter"
"S43392A","Subluxation of other parts of left shoulder girdle, initial encounter"
"S43393A","Subluxation of other parts of unspecified shoulder girdle, initial encounter"
"S43394A","Dislocation of other parts of right shoulder girdle, initial encounter"
"S43395A","Dislocation of other parts of left shoulder girdle, initial encounter"
"S43396A","Dislocation of other parts of unspecified shoulder girdle, initial encounter"
"S53001A","Unspecified subluxation of right radial head, initial encounter"
"S53002A","Unspecified subluxation of left radial head, initial encounter"
"S53003A","Unspecified subluxation of unspecified radial head, initial encounter"
"S53004A","Unspecified dislocation of right radial head, initial encounter"
"S53005A","Unspecified dislocation of left radial head, initial encounter"
"S53006A","Unspecified dislocation of unspecified radial head, initial encounter"
"S53011A","Anterior subluxation of right radial head, initial encounter"
"S53012A","Anterior subluxation of left radial head, initial encounter"
"S53013A","Anterior subluxation of unspecified radial head, initial encounter"
"S53014A","Anterior dislocation of right radial head, initial encounter"
"S53015A","Anterior dislocation of left radial head, initial encounter"
"S53016A","Anterior dislocation of unspecified radial head, initial encounter"
"S53021A","Posterior subluxation of right radial head, initial encounter"
"S53022A","Posterior subluxation of left radial head, initial encounter"
"S53023A","Posterior subluxation of unspecified radial head, initial encounter"
"S53024A","Posterior dislocation of right radial head, initial encounter"
"S53025A","Posterior dislocation of left radial head, initial encounter"
"S53026A","Posterior dislocation of unspecified radial head, initial encounter"
"S53031A","Nursemaid's elbow, right elbow, initial encounter"
"S53032A","Nursemaid's elbow, left elbow, initial encounter"
"S53033A","Nursemaid's elbow, unspecified elbow, initial encounter"
"S53091A","Other subluxation of right radial head, initial encounter"
"S53092A","Other subluxation of left radial head, initial encounter"
"S53093A","Other subluxation of unspecified radial head, initial encounter"
"S53094A","Other dislocation of right radial head, initial encounter"
"S53095A","Other dislocation of left radial head, initial encounter"
"S53096A","Other dislocation of unspecified radial head, initial encounter"
"S53101A","Unspecified subluxation of right ulnohumeral joint, initial encounter"
"S53102A","Unspecified subluxation of left ulnohumeral joint, initial encounter"
"S53103A","Unspecified subluxation of unspecified ulnohumeral joint, initial encounter"
"S53104A","Unspecified dislocation of right ulnohumeral joint, initial encounter"
"S53105A","Unspecified dislocation of left ulnohumeral joint, initial encounter"
"S53106A","Unspecified dislocation of unspecified ulnohumeral joint, initial encounter"
"S53111A","Anterior subluxation of right ulnohumeral joint, initial encounter"
"S53112A","Anterior subluxation of left ulnohumeral joint, initial encounter"
"S53113A","Anterior subluxation of unspecified ulnohumeral joint, initial encounter"
"S53114A","Anterior dislocation of right ulnohumeral joint, initial encounter"
"S53115A","Anterior dislocation of left ulnohumeral joint, initial encounter"
"S53116A","Anterior dislocation of unspecified ulnohumeral joint, initial encounter"
"S53121A","Posterior subluxation of right ulnohumeral joint, initial encounter"
"S53122A","Posterior subluxation of left ulnohumeral joint, initial encounter"
"S53123A","Posterior subluxation of unspecified ulnohumeral joint, initial encounter"
"S53124A","Posterior dislocation of right ulnohumeral joint, initial encounter"
"S53125A","Posterior dislocation of left ulnohumeral joint, initial encounter"
"S53126A","Posterior dislocation of unspecified ulnohumeral joint, initial encounter"
"S53131A","Medial subluxation of right ulnohumeral joint, initial encounter"
"S53132A","Medial subluxation of left ulnohumeral joint, initial encounter"
"S53133A","Medial subluxation of unspecified ulnohumeral joint, initial encounter"
"S53134A","Medial dislocation of right ulnohumeral joint, initial encounter"
