"icd_9_pcs","long_description","short_description"
1269,Other scleral fistulizing procedure,Scler fistulizing op NEC
1271,Cyclodiathermy,Cyclodiathermy
1272,Cyclocryotherapy,Cyclocryotherapy
1273,Cyclophotocoagulation,Cyclophotocoagulation
1274,"Diminution of ciliary body, not otherwise specified",Cil body diminution NOS
1279,Other glaucoma procedures,Glaucoma procedure NEC
1281,Suture of laceration of sclera,Suture scleral lacer
1282,Repair of scleral fistula,Scleral fistula repair
1283,"Revision of operative wound of anterior segment, not elsewhere classified",Revis ant seg op wnd NEC
1284,Excision or destruction of lesion of sclera,Destruct scleral lesion
1285,Repair of scleral staphyloma with graft,Repair staphylom w graft
1286,Other repair of scleral staphyloma,Rep scler staphyloma NEC
1287,Scleral reinforcement with graft,Graft reinforce sclera
1288,Other scleral reinforcement,Sclera reinforcement NEC
1289,Other operations on sclera,Scleral operation NEC
1291,Therapeutic evacuation of anterior chamber,Therapeut evac ant chamb
1292,Injection into anterior chamber,Anterior chamber inject
1293,Removal or destruction of epithelial downgrowth from anterior chamber,Remov epithel downgrowth
1297,Other operations on iris,Iris operation NEC
1298,Other operations on ciliary body,Ciliary body op NEC
1299,Other operations on anterior chamber,Anterior chamber op NEC
1300,"Removal of foreign body from lens, not otherwise specified",Remove FB lens NOS
1301,Removal of foreign body from lens with use of magnet,Magnet remove FB lens
1302,Removal of foreign body from lens without use of magnet,Nonmagnet remove FB lens
1311,Intracapsular extraction of lens by temporal inferior route,Temp-inf intrcap lens ex
1319,Other intracapsular extraction of lens,Intracapsul lens ext NEC
132,Extracapsular extraction of lens by linear extraction technique,Linear extracap lens ext
133,Extracapsular extraction of lens by simple aspiration (and irrigation) technique,Simpl aspir lens extract
1341,Phacoemulsification and aspiration of cataract,Catarac phacoemuls/aspir
1342,Mechanical phacofragmentation and aspiration of cataract by posterior route,Post catarac frag/aspir
1343,Mechanical phacofragmentation and other aspiration of cataract,Cataract frag/aspir NEC
1351,Extracapsular extraction of lens by temporal inferior route,Temp-inf xtracap lens ex
1359,Other extracapsular extraction of lens,Extracap lens extrac NEC
1364,Discission of secondary membrane [after cataract],After-catar discission
1365,Excision of secondary membrane [after cataract],After-cataract excision
1366,Mechanical fragmentation of secondary membrane [after cataract],After catar fragmntation
1369,Other cataract extraction,Cataract extraction NEC
1370,"Insertion of pseudophakos, not otherwise specified",Insert pseudophakos NOS
1371,"Insertion of intraocular lens prosthesis at time of cataract extraction, one-stage",Insert lens at catar ext
1372,Secondary insertion of intraocular lens prosthesis,Secondary insert lens
138,Removal of implanted lens,Implanted lens removal
1390,"Operation on lens, not elsewhere classified",Operation on lens NEC
1391,Implantation of intraocular telescope prosthesis,Impl intraoc telesc pros
1400,"Removal of foreign body from posterior segment of eye, not otherwise specified",Remov post segmnt FB NOS
1401,Removal of foreign body from posterior segment of eye with use of magnet,Magnet remov post seg FB
1402,Removal of foreign body from posterior segment of eye without use of magnet,Nonmag remov post seg FB
1411,Diagnostic aspiration of vitreous,Diagnost vitreous aspir
1419,"Other diagnostic procedures on retina, choroid, vitreous, and posterior chamber",Dx proc post seg NEC
1421,Destruction of chorioretinal lesion by diathermy,Chorioret les diathermy
1422,Destruction of chorioretinal lesion by cryotherapy,Chorioretin les cryother
1423,Destruction of chorioretinal lesion by xenon arc photocoagulation,Chorioret les xenon coag
1424,Destruction of chorioretinal lesion by laser photocoagulation,Chorioret les laser coag
1425,Destruction of chorioretinal lesion by photocoagulation of unspecified type,Chorioret les p/coag NOS
1426,Destruction of chorioretinal lesion by radiation therapy,Chorioret les radiother
1427,Destruction of chorioretinal lesion by implantation of radiation source,Chorioret les rad implan
1429,Other destruction of chorioretinal lesion,Chorioret les destr NEC
1431,Repair of retinal tear by diathermy,Retinal tear diathermy
1432,Repair of retinal tear by cryotherapy,Retinal tear cryotherapy
1433,Repair of retinal tear by xenon arc photocoagulation,Retinal tear xenon coag
1434,Repair of retinal tear by laser photocoagulation,Retinal tear laser coag
1435,Repair of retinal tear by photocoagulation of unspecified type,Retina tear photocoa NOS
1439,Other repair of retinal tear,Retinal tear repair NEC
1441,Scleral buckling with implant,Scleral buckle w implant
1449,Other scleral buckling,Scleral buckling NEC
1451,Repair of retinal detachment with diathermy,Detach retina-diathermy
1452,Repair of retinal detachment with cryotherapy,Detach retina-cryotherap
1453,Repair of retinal detachment with xenon arc photocoagulation,Detach retina xenon coag
1454,Repair of retinal detachment with laser photocoagulation,Detach retina laser coag
1455,Repair of retinal detachment with photocoagulation of unspecified type,Detach ret photocoag NOS
1459,Other repair of retinal detachment,Repair retina detach NEC
146,Removal of surgically implanted material from posterior segment of eye,Remov pros mat post seg
1471,"Removal of vitreous, anterior approach",Anterior remov vitreous
1472,Other removal of vitreous,Vitreous removal NEC
1473,Mechanical vitrectomy by anterior approach,Anterior mechan vitrect
1474,Other mechanical vitrectomy,Mech vitrectomy NEC
1475,Injection of vitreous substitute,Vitreous substitut injec
1479,Other operations on vitreous,Vitreous operation NEC
1481,Implantation of epiretinal visual prosthesis,Imp epiretinal prosth
1482,Removal of epiretinal visual prosthesis,Rem epiretinal prosth
1483,Revision or replacement of epiretinal visual prosthesis,Rev/repl epiretinal pros
149,"Other operations on retina, choroid, and posterior chamber",Other post segment ops
1501,Biopsy of extraocular muscle or tendon,Extraoc musc-tend biopsy
1509,Other diagnostic procedures on extraocular muscles and tendons,Extraoc musc dx proc NEC
1511,Recession of one extraocular muscle,One extraoc mus recess
1512,Advancement of one extraocular muscle,1 extraoc muscl advance
1513,Resection of one extraocular muscle,1 extraoc muscl resect
1519,Other operations on one extraocular muscle involving temporary detachment from globe,Xtraoc mus op/detach NEC
1521,Lengthening procedure on one extraocular muscle,Lengthen 1 extraoc musc
1522,Shortening procedure on one extraocular muscle,Shorten 1 extraoc musc
1529,Other operations on one extraocular muscle,Op on 1 extraoc musc NEC
153,"Operations on two or more extraocular muscles involving temporary detachment from globe, one or both eyes",Temp detach >1 xtroc mus
154,"Other operations on two or more extraocular muscles, one or both eyes",Oth op on >l extraoc mus
155,Transposition of extraocular muscles,Extraocul mus transposit
156,Revision of extraocular muscle surgery,Revis extraoc musc surg
157,Repair of injury of extraocular muscle,Extraoc musc inj repair
159,Other operations on extraocular muscles and tendons,Oth extraoc mus-tend op
1601,Orbitotomy with bone flap,Orbitotomy w bone flap
1602,Orbitotomy with insertion of orbital implant,Orbitotomy w implant
1609,Other orbitotomy,Orbitotomy NEC
161,"Removal of penetrating foreign body from eye, not otherwise specified",Remove penetrat FB eye
1621,Ophthalmoscopy,Ophthalmoscopy
1622,Diagnostic aspiration of orbit,Diagnostic asp of orbit
1623,Biopsy of eyeball and orbit,Eyeball & orbit biopsy
1629,Other diagnostic procedures on orbit and eyeball,Eyebal/orbit dx proc NEC
1631,Removal of ocular contents with synchronous implant into scleral shell,Eye evisc w synch implan
1639,Other evisceration of eyeball,Eyeball evisceration NEC
1641,Enucleation of eyeball with synchronous implant into Tenon's capsule with attachment of muscles,Eye enuc/implan/musc att
1642,Enucleation of eyeball with other synchronous implant,Eye enuc w implant NEC
1649,Other enucleation of eyeball,Eyeball enucleation NEC
1651,Exenteration of orbit with removal of adjacent structures,Radical orbitomaxillect
1652,Exenteration of orbit with therapeutic removal of orbital bone,Orbit exent w bone remov
1659,Other exenteration of orbit,Orbital exenteration NEC
1661,Secondary insertion of ocular implant,2ndry ocular imp insert
1662,Revision and reinsertion of ocular implant,Revis/reinsert ocul imp
1663,Revision of enucleation socket with graft,Revis enuc socket w grft
1664,Other revision of enucleation socket,Enuc socket revis NEC
1665,Secondary graft to exenteration cavity,2ndry exent cavity graft
1666,Other revision of exenteration cavity,Revis exenter cavity NEC
1669,Other secondary procedures after removal of eyeball,2nd op post eye rem NEC
1671,Removal of ocular implant,Remove ocular implant
1672,Removal of orbital implant,Remove orbital implant
1681,Repair of wound of orbit,Repair of orbital wound
1682,Repair of rupture of eyeball,Repair eyeball rupture
1689,Other repair of injury of eyeball or orbit,Eye/orbit inj repair NEC
1691,Retrobulbar injection of therapeutic agent,Retrobulbar injection
1692,Excision of lesion of orbit,Excision orbital lesion
1693,"Excision of lesion of eye, unspecified structure",Excision eye lesion NOS
1698,Other operations on orbit,Operation on orbit NEC
1699,Other operations on eyeball,Operation on eyeball NEC
1711,Laparoscopic repair of direct inguinal hernia with graft or prosthesis,Lap dir ing hern-graft
1712,Laparoscopic repair of indirect inguinal hernia with graft or prosthesis,Lap indir ing hern-graft
1713,"Laparoscopic repair of inguinal hernia with graft or prosthesis, not otherwise specified",Lap ing hern-graft NOS
1721,Laparoscopic bilateral repair of direct inguinal hernia with graft or prosthesis,Lap bil dir ing hrn-grft
1722,Laparoscopic bilateral repair of indirect inguinal hernia with graft or prosthesis,Lap bi indir ing hrn-grf
1723,"Laparoscopic bilateral repair of inguinal hernia, one direct and one indirect, with graft or prosthesis",Lap bi dr/ind ing hrn-gr
1724,"Laparoscopic bilateral repair of inguinal hernia with graft or prosthesis, not otherwise specified",Lap bil ing hern-grf NOS
1731,Laparoscopic multiple segmental resection of large intestine,Lap mul seg res lg intes
1732,Laparoscopic cecectomy,Laparoscopic cecectomy
1733,Laparoscopic right hemicolectomy,Lap right hemicolectomy
1734,Laparoscopic resection of transverse colon,Lap res transverse colon
1735,Laparoscopic left hemicolectomy,Lap left hemicolectomy
1736,Laparoscopic sigmoidectomy,Lap sigmoidectomy
1739,Other laparoscopic partial excision of large intestine,Lap pt ex lrg intest NEC
1741,Open robotic assisted procedure,Open robotic assist proc
1742,Laparoscopic robotic assisted procedure,Lap robotic assist proc
1743,Percutaneous robotic assisted procedure,Perc robotic assist proc
1744,Endoscopic robotic assisted procedure,Endo robotic assist proc
1745,Thoracoscopic robotic assisted procedure,Thoraco robotic ast proc
1749,Other and unspecified robotic assisted procedure,Robotic ast proc NEC/NOS
1751,"Implantation of rechargeable cardiac contractility modulation [CCM], total system","Implant CCM,total system"
1752,Implantation or replacement of cardiac contractility modulation [CCM] rechargeable pulse generator only,Implant CCM pulse genrtr
1753,Percutaneous atherectomy of extracranial vessel(s),Perc ather extracran vsl
1754,Percutaneous atherectomy of intracranial vessel(s),Perc ather intracran vsl
1755,Transluminal coronary atherectomy,Translum cor atherectomy
1756,Atherectomy of other non-coronary vessel(s),Ather oth non-cor vessel
1761,Laser interstitial thermal therapy [LITT] of lesion or tissue of brain under guidance,"LITT lesn brain,guidance"
1762,Laser interstitial thermal therapy [LITT] of lesion or tissue of head and neck under guidance,"LITT les hd/nck,guidance"
1763,Laser interstitial thermal therapy [LITT] of lesion or tissue of liver under guidance,"LITT lesn liver,guidance"
1769,Laser interstitial thermal therapy [LITT] of lesion or tissue of other and unspecified site under guidance,"LITT lesn, guide oth/NOS"
1770,Intravenous infusion of clofarabine,IV infusion clofarabine
1771,Non-coronary intra-operative fluorescence vascular angiography [IFVA],Non-coronary IFVA
1781,Insertion of antimicrobial envelope,Insert antimicrobial env
1801,Piercing of ear lobe,Piercing of ear lobe
1802,Incision of external auditory canal,Ext auditory canal incis
1809,Other incision of external ear,External ear incis NEC
1811,Otoscopy,Otoscopy
1812,Biopsy of external ear,External ear biopsy
1819,Other diagnostic procedures on external ear,Ext ear diagnos proc NEC
1821,Excision of preauricular sinus,Preauricular sinus excis
1829,Excision or destruction of other lesion of external ear,Destruct ext ear les NEC
1831,Radical excision of lesion of external ear,Rad excis ext ear les
1839,Other excision of external ear,Excis external ear NEC
184,Suture of laceration of external ear,Suture ext ear lac
185,Surgical correction of prominent ear,Correction prominent ear
186,Reconstruction of external auditory canal,Ext audit canal reconstr
