"icd_10_pcs","description","ccs_code_and_description","specialty_cohort"
"02730F6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02730FZ","Dilation of Coronary Artery, Four or More Arteries with Three Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02730G6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02730GZ","Dilation of Coronary Artery, Four or More Arteries with Four or More Intraluminal Devices, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02730T6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Radioactive Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02730TZ","Dilation of Coronary Artery, Four or More Arteries with Radioactive Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02730Z6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02730ZZ","Dilation of Coronary Artery, Four or More Arteries, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027K04Z","Dilation of Right Ventricle with Drug-eluting Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027K0DZ","Dilation of Right Ventricle with Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027K0ZZ","Dilation of Right Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027L04Z","Dilation of Left Ventricle with Drug-eluting Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027L0DZ","Dilation of Left Ventricle with Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027L0ZZ","Dilation of Left Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027R04T","Dilation of Ductus Arteriosus with Drug-eluting Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027R0DT","Dilation of Ductus Arteriosus with Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"027R0ZT","Dilation of Ductus Arteriosus, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02880ZZ","Division of Conduction Mechanism, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02890ZZ","Division of Chordae Tendineae, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"028D0ZZ","Division of Papillary Muscle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02B40ZZ","Excision of Coronary Vein, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02B50ZZ","Excision of Atrial Septum, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02B60ZZ","Excision of Right Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02B70ZZ","Excision of Left Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02B80ZZ","Excision of Conduction Mechanism, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02B90ZZ","Excision of Chordae Tendineae, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02BD0ZZ","Excision of Papillary Muscle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02BF0ZZ","Excision of Aortic Valve, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02BG0ZZ","Excision of Mitral Valve, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02BH0ZZ","Excision of Pulmonary Valve, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02BJ0ZZ","Excision of Tricuspid Valve, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02BK0ZZ","Excision of Right Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02BL0ZZ","Excision of Left Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02BM0ZZ","Excision of Ventricular Septum, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02BN0ZZ","Excision of Pericardium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02C00Z6","Extirpation of Matter from Coronary Artery, One Artery, Bifurcation, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02C00ZZ","Extirpation of Matter from Coronary Artery, One Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02C10Z6","Extirpation of Matter from Coronary Artery, Two Arteries, Bifurcation, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02C10ZZ","Extirpation of Matter from Coronary Artery, Two Arteries, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02C20Z6","Extirpation of Matter from Coronary Artery, Three Arteries, Bifurcation, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02C20ZZ","Extirpation of Matter from Coronary Artery, Three Arteries, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02C30Z6","Extirpation of Matter from Coronary Artery, Four or More Arteries, Bifurcation, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02C30ZZ","Extirpation of Matter from Coronary Artery, Four or More Arteries, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02C40ZZ","Extirpation of Matter from Coronary Vein, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02C50ZZ","Extirpation of Matter from Atrial Septum, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02C60ZZ","Extirpation of Matter from Right Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02C70ZZ","Extirpation of Matter from Left Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02C80ZZ","Extirpation of Matter from Conduction Mechanism, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02C90ZZ","Extirpation of Matter from Chordae Tendineae, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02CD0ZZ","Extirpation of Matter from Papillary Muscle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02CK0ZZ","Extirpation of Matter from Right Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02CL0ZZ","Extirpation of Matter from Left Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02CM0ZZ","Extirpation of Matter from Ventricular Septum, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02CN0ZZ","Extirpation of Matter from Pericardium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02FN0ZZ","Fragmentation in Pericardium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H00DZ","Insertion of Intraluminal Device into Coronary Artery, One Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H00YZ","Insertion of Other Device into Coronary Artery, One Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H10DZ","Insertion of Intraluminal Device into Coronary Artery, Two Arteries, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H10YZ","Insertion of Other Device into Coronary Artery, Two Arteries, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H20DZ","Insertion of Intraluminal Device into Coronary Artery, Three Arteries, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H20YZ","Insertion of Other Device into Coronary Artery, Three Arteries, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H30DZ","Insertion of Intraluminal Device into Coronary Artery, Four or More Arteries, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H30YZ","Insertion of Other Device into Coronary Artery, Four or More Arteries, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H400Z","Insertion of Pressure Sensor Monitoring Device into Coronary Vein, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H402Z","Insertion of Monitoring Device into Coronary Vein, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H403Z","Insertion of Infusion Device into Coronary Vein, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H40DZ","Insertion of Intraluminal Device into Coronary Vein, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H40YZ","Insertion of Other Device into Coronary Vein, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H600Z","Insertion of Pressure Sensor Monitoring Device into Right Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H602Z","Insertion of Monitoring Device into Right Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H603Z","Insertion of Infusion Device into Right Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H60DZ","Insertion of Intraluminal Device into Right Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H60YZ","Insertion of Other Device into Right Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H700Z","Insertion of Pressure Sensor Monitoring Device into Left Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H702Z","Insertion of Monitoring Device into Left Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H703Z","Insertion of Infusion Device into Left Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H70DZ","Insertion of Intraluminal Device into Left Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02H70YZ","Insertion of Other Device into Left Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HA0QZ","Insertion of Implantable Heart Assist System into Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HA0RJ","Insertion of Short-term External Heart Assist System into Heart, Intraoperative, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HA0RS","Insertion of Biventricular Short-term External Heart Assist System into Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HA0RZ","Insertion of Short-term External Heart Assist System into Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HA0YZ","Insertion of Other Device into Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HK00Z","Insertion of Pressure Sensor Monitoring Device into Right Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HK02Z","Insertion of Monitoring Device into Right Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HK03Z","Insertion of Infusion Device into Right Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HK0DZ","Insertion of Intraluminal Device into Right Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HK0YZ","Insertion of Other Device into Right Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HL00Z","Insertion of Pressure Sensor Monitoring Device into Left Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HL02Z","Insertion of Monitoring Device into Left Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HL03Z","Insertion of Infusion Device into Left Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HL0DZ","Insertion of Intraluminal Device into Left Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HL0YZ","Insertion of Other Device into Left Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HN00Z","Insertion of Pressure Sensor Monitoring Device into Pericardium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HN02Z","Insertion of Monitoring Device into Pericardium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02HN0YZ","Insertion of Other Device into Pericardium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02N00ZZ","Release Coronary Artery, One Artery, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02N10ZZ","Release Coronary Artery, Two Arteries, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02N20ZZ","Release Coronary Artery, Three Arteries, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02N30ZZ","Release Coronary Artery, Four or More Arteries, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02N40ZZ","Release Coronary Vein, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02N50ZZ","Release Atrial Septum, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02N60ZZ","Release Right Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02N70ZZ","Release Left Atrium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02N80ZZ","Release Conduction Mechanism, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02N90ZZ","Release Chordae Tendineae, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02ND0ZZ","Release Papillary Muscle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02NK0ZZ","Release Right Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02NL0ZZ","Release Left Ventricle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02NM0ZZ","Release Ventricular Septum, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02NN0ZZ","Release Pericardium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02PA02Z","Removal of Monitoring Device from Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02PA03Z","Removal of Infusion Device from Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02PA07Z","Removal of Autologous Tissue Substitute from Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02PA08Z","Removal of Zooplastic Tissue from Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02PA0CZ","Removal of Extraluminal Device from Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02PA0DZ","Removal of Intraluminal Device from Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02PA0JZ","Removal of Synthetic Substitute from Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02PA0KZ","Removal of Nonautologous Tissue Substitute from Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
